Name,Photo,Mastodon,Twitter,Instagram,LinkedIn,Biography
Aparna Soneja,img/speakers/aparna_soneja.jpg,,AparnaSoneja,aparna_soneja,https://www.linkedin.com/in/aparna-35066b191/,"Aparna is a Software engineer at Accenture & an Open source advocate by passion. She not only loves to code but also creates technical content and share with her community. In short, Aparna is a developer, content creator, educator, Open source contributor and also a public speaker who loves to deliver talks at conferences."
Daisy Leigh Brenecki,img/speakers/daisy_leigh.jpg,@daisy@cloudisland.nz,,,,"Daisy is a full-stack developer and full-snack devourer who hails from Tarntanya/Adelaide and is now based in Narrm/Melbourne. She was the Conference Director of PyCon AU 2023 and PyConline AU 2020, and is enthusiastic about well-designed APIs and dresses with pockets. She is more scared of you than you are of her."
Cosima Meyer,img/speakers/cosima_meyer.jpg,@cosima_meyer@mas.to,,amisoccassiopeia,https://www.linkedin.com/in/cosimameyer/,"Cosima Meyer works as a data scientist at IBM where she aims to make machine learning explainable. As an active member of PyLadies and R-Ladies and Google‘s Women Techmakers Ambassador, she strives to bring the two communities together and make the contributions of underrepresented backgrounds in tech more visible. During her PhD studies at the University of Mannheim, Cosima discovered her passion for sharing knowledge - both by writing technical blog posts and by developing open source software."
Joanna Jablonski,img/speakers/joanna_jablonski.jpg,,Jo_Jablonski,,https://www.linkedin.com/in/joanna-jablonski/,"I help developers learn because I like code, words, and people."
Pri Boyano,img/speakers/pri_boyano.jpg,,,pyladiesbioinfo,https://linkedin.com/in/pyladies-bioinfo,"Sou a Pri, Bióloga, estudante de Tecnologia da Informação, mãe de um menino e de vários gatos. Voluntária na organização da comunidade Pyladies Bioinfo BR, apaixonada por Dados e Biologia. Grande parte da minha vida profissional foi na pesquisa com Hemoglobinas e Anemia Falciforme, mas atualmente estou na Imuno-hematologia de Doadores de Sangue do Hemocentro da UNICAMP em Campinas-SP. Meu objetivo é unir a Tecnologia com minha vivência de Laboratório e Pesquisa, as Pyladies Bioinfo são o elo desses dois temas principais na minha vida."
Mariatta,img/speakers/mariatta.jpg,@mariatta@fosstodon.org,mariatta,,https://linkedin.com/in/mariatta,"Mariatta is a Python core developer where she focuses on improving the workflow and documentation. She is active in the Python community as an advisor for the Global PyLadies, and PyCon US Chair."
Valeria Cerpa Salas,img/speakers/valeria_cerpa.jpg,,valcerpasalas,val.cerpasalas,https://www.linkedin.com/in/vcerpasalas/,"Valeria Cerpa trabaja en el área de desarrollo de software y es arquitecta, actualmente es becaria de investigación en la organización Engineering for Change (E4C) y de la organización LAYCS. Recientemente fué seleccionada para asistir virtualmente a la GHC 23. En 2021, fundó ""Datos para Espacios Resilientes"", primer proyecto digital del Fellowship Resilience Fund, lo que le permitió liderar un equipo diverso y trabajar en la generación de mapas interactivos sobre seguridad urbana. Además, Valeria está involucrada en el desarrollo de ""Planning 2050"", un proyecto web peruano-americano, que promueve compromisos sostenibles para ciudades desde instituciones públicas. Anteriormente, fue becaria de US Green Building Council en Washington DC, Harvard WECode, fue asistente de investigación en la Universidad Católica de Santa María y participó en el podcast de Women Who Code (WWCode). Su experiencia le ha permitido colaborar con organizaciones de Estados Unidos, Alemania, Suiza, Francia y Perú."
Ria Bhatia,img/speakers/ria_bhatia.jpg,,RiaBhatia24,riabhatia24,https://www.linkedin.com/in/riabhatia24,"Ria Bhatia is a driven and passionate software engineer at Goldman Sachs. Over the course of her career, she has worked with various database systems, prioritizing performance, data durability, and scalability. Her expertise extends from cloud-based relational databases to embedded persistent key-value stores. Ria is passionate about simplifying complex concepts, fostering team learning, and staying at the forefront of technology trends. She's an enthusiastic speaker, having previously presented at prestigious conferences like PyCascades and Women Tech Network. Committed to gender diversity in tech, Ria mentors aspiring engineers and has been recognized with the Google Women in Technology Scholarship and the Nutanix Women in Tech Scholarship for her leadership and community contributions. Beyond tech, Ria enjoys screen-free hobbies like reading and embroidery, showcasing her artistic talents. She's also adept at playing multiple instruments, demonstrating her musical talent and diverse interests."
Jessie Newman,img/speakers/jessie_newman.jpg,,jessiedotjs,,linkedin.com/in/newmanjessie,"Jessie Newman is a software engineer with six years experience at Google working on Google Drive, Search, and Maps, and three years experience working in high frequency trading at Hudson River Trading. She was a founding co-lead of Hudson River Trading's womens employee resource group."
April,img/speakers/april.jpg,,,,www.linkedin.com/in/mengyu-liang-630392154,Data scietist in pharmaceutical company
Lidiane Monteiro,img/speakers/lidiane_monteiro.jpg,,Lidy_Monteiro,,,"Founder of InspirAda na Computação, Software developer at LuizaLabs and Host of the podcast Cabeça de Lab. Passionate about people and knowledge, contributed to the co-founding of technology communities such as PyLadies Recife and Women Who Code Recife, participant of PyLadies Brasil, PUG- PE and Django Girls. Pernambucana, root supporter of Sport Club do Recife and Joana's aunt. I love beer and my dogs (Teddy - In Memorial and Bob). I proudly graduated in Computing at UFRPE and was a Computer Teacher for primary education and professional training."
Lisa Marielle Cooper,img/speakers/lisa_marielle.jpg,,techylisa,techylisa,https://www.linkedin.com/in/lisamariellecooper/,"Lisa Marielle Cooper (she/her) is an interdisciplinary artist, disability justice advocate, and community builder. She is a co-organizer of Pyjamas Conf, the laziest 24-hour Python conference in the world, and is one of the co-founders of PyLadies Calgary, Alberta's first Pyladies chapter."
Bia Rosa,img/speakers/bia_rosa.jpg,,__biancarosa,,https://www.linkedin.com/in/biarm,"Backend and Infrastrucure Engineer at Lumos. Worked previously at Red Hat and Stone. Has led and managed teams before, and is now happy as an individual contributor. Works with Python for over 7 years and has been involved with the Python community since then, organized several Pyladies, PythOnRio meet up and is the conference chair of the Python Brasil 2024 in Rio."
Micaela Reyes,img/speakers/micaela_reyes.jpg,,codemickeycode,,,"Micaela is a Software Engineer transitioning into Data Analysis. She is deeply involved in the Python community - serves as the Director of Operations for PythonPH and is a Python Software Foundation Fellow. She treasures meaningful friendships, draws inspiration from passionate individuals and finds great fulfillment in sharing knowledge."
Pavithra Eswaramoorthy,img/speakers/pavithra_eswaramoorthy.jpg,,,,,"Pavithra Eswaramoorthy is a Developer Advocate at Quansight, where she works to improve the developer experience and community engagement for several open source projects in the PyData community. Currently, she maintains the Bokeh visualization library, and contributes to the Nebari (adjacent to the Jupyter community) and conda-store (part of the conda ecosystem) projects. Pavithra has been involved in the open source community for over 5 years, notable as a maintainer of the Dask library and an administrator for Wikimedia’s OSS programs. In her spare time, she enjoys a good book and hot coffee. :)"
sireesha chavali,img/speakers/sireesha_chavali.jpg,,,,,"A passionate AI Engineer at Enique Solutions primarily focusing on the development of conversational AI solutions for a diverse range of clients. My technical expertise encompasses industry-leading platforms such as Google BigQuery, Microsoft Azure, and Power Apps. With a specialized skill set in natural language processing (NLP) and computer vision (CV), I consistently aim to deliver products that are at the intersection of innovation and user-centric design, all underpinned by the transformative capabilities of artificial intelligence. Outside of my primary professional role, I am deeply committed to advancing the representation and empowerment of women within the AI sector. In this capacity, I am honored to serve as a Volunteer Lead for Women in AI, an esteemed global community that brings together female AI practitioners, researchers, and enthusiasts. My responsibilities therein include the organization and facilitation of key events, the design and implementation of specialized workshops, and the establishment of mentorship programs—all with the overarching goal of fostering support and growth for women in the AI domain. My dedication to the field of AI is unwavering, characterized by a continuous pursuit of knowledge and skill enhancement."
