name,type,image,url
"IndyPy","Community","community_indypy.png","https://indypy.org/"
"PyTexas","Community","community_pytexas.png","https://www.pytexas.org/"
"Data Umbrella","Community","community_dataumbrella.png","https://www.meetup.com/nyc-data-umbrella/"
"SixFeetUp","Partner","partner_sixfeetup.png","https://www.sixfeetup.com/?utm_source=pyladiesconf2023"
"Auth0","Booster","booster_auth0.png","https://a0.to/pyladiescon"
"DataRoots","Partner","partner_dataroots.png","http://dataroots.io/"
"Willing Consulting","Partner","partner_willing_consulting.png","https://willingconsulting.com/"
"JetBrains","Special","special_jetbrains.png","https://www.jetbrains.com/"
"Numberly","Booster","booster_numberly.png","https://fr.linkedin.com/company/numberly"
"Kraken Technologies","Supporter","supporter_kraken.png","https://kraken.tech/"
